candidate_oracle_evidence_id,candidate_oracle_label,candidate_oracle_score,extraction_oracle_evidence_id,extraction_oracle_label,extraction_oracle_score,fact_id,loss_stage,mode,source_doc_id,source_oracle_evidence_id,source_oracle_label,source_oracle_score,top10_label,top1_label,top3_label,top5_label
condition:current_density_100_ma_cm2|measurement:ee_83_0_percent,UNSUPPORTED,0.1667,active_species:n_methyl_2_pyrrolidone_nmp|membrane:speek_apk,UNSUPPORTED,0.1667,DOC02-FACT-023,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.1667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:snpbi_1_42|metric:vanadium_permeability_of_snpbi_1_42,UNSUPPORTED,0.2222,membrane:snpbi_1_42|unresolved:fuming_sulfuric_acid,UNSUPPORTED,0.2222,DOC02-FACT-024,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.2222,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
degradation:mechanical_degradation_due_to_excessive_swelling|membrane:sptpc_2_59,UNSUPPORTED,0.4,degradation:mechanical_degradation_due_to_excessive_swelling|membrane:sptpc_2_59,UNSUPPORTED,0.4,DOC02-FACT-025,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
active_species:boric_acid|electrode:bmc_c,UNSUPPORTED,0.4444,active_species:boric_acid|electrode:bmc_c,UNSUPPORTED,0.4444,DOC03-FACT-001,retrieved,graph_final,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.4444,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
electrode:bmc_c|measurement:ee_82_5_percent,PARTIALLY_SUPPORTED,0.5,electrode:bmc_c|measurement:ee_82_5_percent,PARTIALLY_SUPPORTED,0.5,DOC03-FACT-002,retrieved,graph_final,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.25,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
electrode:bmc_c|measurement:contact_angle_92_8_degree,PARTIALLY_SUPPORTED,0.5,active_species:boric_acid|electrode:bmc_c,PARTIALLY_SUPPORTED,0.5,DOC03-FACT-003,retrieved,graph_final,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.375,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
active_species:boric_acid|electrode:bmc_c,PARTIALLY_SUPPORTED,0.5,active_species:boric_acid|electrode:bmc_c,PARTIALLY_SUPPORTED,0.5,DOC03-FACT-004,retrieved,graph_final,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.375,PARTIALLY_SUPPORTED,UNSUPPORTED,UNSUPPORTED,PARTIALLY_SUPPORTED
active_species:boric_acid|electrode:bmc_c,PARTIALLY_SUPPORTED,0.6667,active_species:boric_acid|electrode:bmc_c,PARTIALLY_SUPPORTED,0.6667,DOC03-FACT-005,retrieved,graph_final,DOC03,chunk-hyperrag-DOC03,PARTIALLY_SUPPORTED,0.5,PARTIALLY_SUPPORTED,UNSUPPORTED,UNSUPPORTED,PARTIALLY_SUPPORTED
active_species:boric_acid|electrode:bmc_c,PARTIALLY_SUPPORTED,0.5,active_species:boric_acid|electrode:bmc_c,PARTIALLY_SUPPORTED,0.5,DOC03-FACT-006,retrieved,graph_final,DOC03,chunk-hyperrag-DOC03,PARTIALLY_SUPPORTED,0.6667,PARTIALLY_SUPPORTED,UNSUPPORTED,UNSUPPORTED,PARTIALLY_SUPPORTED
electrode:bmc_c|measurement:ee_82_5_percent,PARTIALLY_SUPPORTED,0.5,electrode:bmc_c|measurement:ee_82_5_percent,PARTIALLY_SUPPORTED,0.5,DOC03-FACT-007,retrieved,graph_final,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.1667,PARTIALLY_SUPPORTED,UNSUPPORTED,UNSUPPORTED,PARTIALLY_SUPPORTED
condition:current_density_40_to_200_ma_cm2|unresolved:single_cell_vrfb,UNSUPPORTED,0.3333,active_species:boric_acid|electrode:bmc_c,PARTIALLY_SUPPORTED,0.5,DOC03-FACT-008,retrieved,graph_final,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.3333,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
electrode:bmc_c|measurement:ce_97_0_percent,PARTIALLY_SUPPORTED,0.5,electrode:bmc_c|measurement:ce_97_0_percent,PARTIALLY_SUPPORTED,0.5,DOC03-FACT-009,retrieved,graph_final,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.25,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
degradation:oxidation_and_loss_of_active_surface_area|electrode:c_c,UNSUPPORTED,0.2,active_species:boric_acid|electrode:bmc_c,UNSUPPORTED,0.4,DOC03-FACT-010,retrieved,graph_final,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.2,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:flow_rate_10_ml_min|metric:pumping_power,UNSUPPORTED,0.4286,condition:flow_rate_10_ml_min|metric:pumping_power,UNSUPPORTED,0.4286,DOC04-FACT-001,retrieved,graph_final,DOC04,chunk-hyperrag-DOC04,UNSUPPORTED,0.4286,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:current_density_40_to_200_ma_cm2|unresolved:single_cell_vrfb,UNSUPPORTED,0.1667,degradation:capacity_fading|degradation:vanadium_crossover,UNSUPPORTED,0.0,DOC04-FACT-002,extraction_or_representation,graph_final,DOC04,chunk-hyperrag-DOC04,UNSUPPORTED,0.3333,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:acid_concentration_3_mol_l|species:h2so4,UNSUPPORTED,0.0909,condition:flow_rate_40_ml_min|measurement:ee_80_0_percent,UNSUPPORTED,0.0909,DOC04-FACT-003,retrieved,graph_final,DOC04,chunk-hyperrag-DOC04,UNSUPPORTED,0.2727,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:acid_concentration_3_mol_l|species:h2so4,UNSUPPORTED,0.2,condition:vanadium_concentration_1_6_mol_l|measurement:ee_83_0_percent,UNSUPPORTED,0.2,DOC04-FACT-004,retrieved,graph_final,DOC04,chunk-hyperrag-DOC04,PARTIALLY_SUPPORTED,0.6,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
system:peristaltic_pumps|unresolved:single_cell_vrfb,PARTIALLY_SUPPORTED,0.6667,metric:pumping_power|unresolved:net_energy_efficiency_range,UNSUPPORTED,0.3333,DOC04-FACT-005,ranking_degradation,graph_final,DOC04,chunk-hyperrag-DOC04,PARTIALLY_SUPPORTED,1.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.25,degradation:capacity_fading|degradation:vanadium_crossover,UNSUPPORTED,0.0,DOC04-FACT-006,extraction_or_representation,graph_final,DOC04,chunk-hyperrag-DOC04,PARTIALLY_SUPPORTED,0.75,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:vanadium_concentration_3_mol_l|degradation:vanadium_precipitation,UNSUPPORTED,0.4,condition:vanadium_concentration_3_mol_l|degradation:vanadium_precipitation,UNSUPPORTED,0.4,DOC04-FACT-007,retrieved,graph_final,DOC04,chunk-hyperrag-DOC04,PARTIALLY_SUPPORTED,0.6,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
degradation:vanadium_crossover|membrane:nafion_117,UNSUPPORTED,0.3333,degradation:capacity_fading|degradation:vanadium_crossover,UNSUPPORTED,0.1667,DOC04-FACT-008,retrieved,graph_final,DOC04,chunk-hyperrag-DOC04,PARTIALLY_SUPPORTED,0.6667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:flow_rate_40_ml_min|measurement:ee_80_0_percent,UNSUPPORTED,0.1667,condition:vanadium_concentration_1_6_mol_l|measurement:ee_83_0_percent,UNSUPPORTED,0.1667,DOC04-FACT-009,retrieved,graph_final,DOC04,chunk-hyperrag-DOC04,UNSUPPORTED,0.1667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
